Site,Place,Latitude,Longitude,Year,Microplastic_Level
BCMS,Butuan City,8.947490802,125.5390143,2022,185.3703232
BCMS,Butuan City,8.943120373,125.5231199,2022,57.80701489
BCMS,Butuan City,8.941161672,125.5373235,2022,284.1771033
BCMS,Butuan City,8.94041169,125.5393982,2022,41.99240888
BCMS,Butuan City,8.956648853,125.5242468,2022,67.51528532
BCMS,Butuan City,8.946084845,125.5304951,2022,16.18227626
BCMS,Butuan City,8.9486389,125.5258246,2022,9.239003066
BCMS,Butuan City,8.945842893,125.5273272,2022,32.50719667
BCMS,Butuan City,8.9491214,125.5357035,2022,123.8327167
BCMS,Butuan City,8.951848291,125.520929,2022,0
BCMS,Butuan City,8.952150897,125.5234105,2022,52.96025416
BCMS,Butuan City,8.953684661,125.528803,2022,19.82484982
BCMS,Butuan City,8.942440765,125.5299035,2022,203.9173388
BCMS,Butuan City,8.946234222,125.5304014,2022,0.377742406
BCMS,Butuan City,8.950934206,125.5236971,2022,194.9991501
BCMS,Butuan City,8.94176985,125.5239197,2022,29.51673813
BCMS,Butuan City,8.940904546,125.5265066,2022,0
BCMS,Butuan City,8.95657475,125.5271351,2022,10.86366072
BCMS,Butuan City,8.94561869,125.5308539,2022,151.0455866
BCMS,Butuan City,8.941491013,125.5397377,2022,17.87022787
BCMS,Butuan City,8.955444895,125.5239743,2022,226.0281194
BCMS,Butuan City,8.955425407,125.5214809,2022,45.42169289
BCMS,Butuan City,8.947169315,125.5223174,2022,151.8071122
BCMS,Butuan City,8.94661796,125.5212712,2022,46.34815951
BCMS,Butuan City,8.946219646,125.5265037,2022,202.854614
BCMS,Butuan City,8.957744255,125.5294443,2022,54.3161038
BCMS,Butuan City,8.942391885,125.5342649,2022,155.0032319
BCMS,Butuan City,8.955419344,125.5298759,2022,58.12110534
BCMS,Butuan City,8.950454657,125.5285508,2022,125.9030825
BCMS,Butuan City,8.94628712,125.5301714,2022,19.67177615
BCMS,Butuan City,8.958151329,125.5249858,2022,273.4302213
BCMS,Butuan City,8.944575963,125.5215396,2022,15.08260433
BCMS,Butuan City,8.945795029,125.5232244,2022,213.7667026
BCMS,Butuan City,8.956073442,125.5237314,2022,32.81076073
BCMS,Butuan City,8.95785118,125.5307868,2022,42.20322833
BCMS,Butuan City,8.944558703,125.5285422,2022,19.07203127
BCMS,Butuan City,8.956360295,125.5372146,2022,117.2123843
BCMS,Butuan City,8.94834822,125.5244422,2022,21.0200913
BCMS,Butuan City,8.942397307,125.5267523,2022,99.56242456
BCMS,Butuan City,8.950375812,125.5340604,2022,34.38678443
BCMS,Butuan City,8.947272592,125.5394356,2022,0
BCMS,Butuan City,8.94569681,125.5207377,2022,25.37506459
BCMS,Butuan City,8.952191287,125.5300536,2022,96.26627247
BCMS,Butuan City,8.942897897,125.5297891,2022,32.24138588
BCMS,Butuan City,8.959713009,125.5248411,2022,237.8892159
BCMS,Butuan City,8.944752751,125.5345643,2022,41.66795837
BCMS,Butuan City,8.947355663,125.5326461,2022,178.9179319
BCMS,Butuan City,8.941805795,125.536706,2022,71.77623625
BCMS,Butuan City,8.946415601,125.5237304,2022,127.2400203
BCMS,Butuan City,8.953551287,125.5203318,2022,15.39225456
BCMS,Butuan City,8.950241861,125.5245299,2022,3.991445085
BCMS,Butuan City,8.953818755,125.5277347,2022,35.84228957
BCMS,Butuan City,8.9587346,125.5227504,2022,33.59032328
BCMS,Butuan City,8.958493872,125.5375468,2022,19.18925247
BCMS,Butuan City,8.945158833,125.5331997,2022,140.7966753
BCMS,Butuan City,8.950593012,125.524837,2022,53.28849785
BCMS,Butuan City,8.941862055,125.5379443,2022,144.235768
BCMS,Butuan City,8.946780596,125.5269842,2022,42.29355271
BCMS,Butuan City,8.954519114,125.5379422,2022,143.2397766
BCMS,Butuan City,8.952840633,125.5216828,2022,33.18116102
BCMS,Butuan City,8.943232574,125.5379711,2022,147.7561972
BCMS,Butuan City,8.940101232,125.5232162,2022,10.97862482
BCMS,Butuan City,8.950974676,125.5338379,2022,0
BCMS,Butuan City,8.954243584,125.524745,2022,39.67166703
BCMS,Butuan City,8.946507994,125.5349298,2022,218.855306
BCMS,Butuan City,8.953152258,125.5313662,2022,34.5695048
BCMS,Butuan City,8.941873495,125.5273543,2022,22.31920445
BCMS,Butuan City,8.959460211,125.527862,2022,8.855090736
BCMS,Butuan City,8.957840931,125.5326228,2022,118.0491107
BCMS,Butuan City,8.951538078,125.5298504,2022,56.35246823
