Site,Place,Latitude,Longitude,Year,Microplastic_Level
Napindan,Napindan,14.535,121.074,2018,3013.284
Napindan,Napindan,14.535,121.074,2018,2374.008
Napindan,Napindan,14.535,121.074,2018,1331.255
Napindan,Napindan,14.535,121.074,2018,3397.898
Napindan,Napindan,14.535,121.074,2018,1142.332
Napindan,Napindan,14.535,121.074,2018,1557.529
Napindan,Napindan,14.535,121.074,2018,1281.474
Sampiruhan,Sampiruhan,14.4,121.1,2018,2625.743
Sampiruhan,Sampiruhan,14.4,121.1,2018,4238.883
Sampiruhan,Sampiruhan,14.4,121.1,2018,535.218
Sampiruhan,Sampiruhan,14.4,121.1,2018,2554.136
Sampiruhan,Sampiruhan,14.4,121.1,2018,1001.432
Sampiruhan,Sampiruhan,14.4,121.1,2018,942.153
Sampiruhan,Sampiruhan,14.4,121.1,2018,2160.367
Sampiruhan,Sampiruhan,14.4,121.1,2018,433.72
Sampiruhan,Sampiruhan,14.4,121.1,2018,621.275
Sampiruhan,Sampiruhan,14.4,121.1,2018,3680.915
Sampiruhan,Sampiruhan,14.4,121.1,2018,1057.138
Sampiruhan,Sampiruhan,14.4,121.1,2018,1376.408
Sampiruhan,Sampiruhan,14.4,121.1,2018,2085.014
Sampiruhan,Sampiruhan,14.4,121.1,2018,1275.341
Sampiruhan,Sampiruhan,14.4,121.1,2018,932.792
Sampiruhan,Sampiruhan,14.4,121.1,2018,1339.435
Sampiruhan,Sampiruhan,14.4,121.1,2018,387.672
Sampiruhan,Sampiruhan,14.4,121.1,2018,1242.564
Sampiruhan,Sampiruhan,14.4,121.1,2018,1080.844
Sampiruhan,Sampiruhan,14.4,121.1,2018,801.256
Sampiruhan,Sampiruhan,14.4,121.1,2018,1071.817
Sampiruhan,Sampiruhan,14.4,121.1,2018,908.478
Sampiruhan,Sampiruhan,14.4,121.1,2018,1613.356
Sampiruhan,Sampiruhan,14.4,121.1,2018,897.358
Sampiruhan,Sampiruhan,14.4,121.1,2018,874.883
Sampiruhan,Sampiruhan,14.4,121.1,2018,955.338
Sampiruhan,Sampiruhan,14.4,121.1,2018,1440.07
Sampiruhan,Sampiruhan,14.4,121.1,2018,972.721
Sampiruhan,Sampiruhan,14.4,121.1,2018,732.767
Sampiruhan,Sampiruhan,14.4,121.1,2018,1593.215
Sampiruhan,Sampiruhan,14.4,121.1,2018,2207.887
Sampiruhan,Sampiruhan,14.4,121.1,2018,1636.468
Sampiruhan,Sampiruhan,14.4,121.1,2018,590.367
Sampiruhan,Sampiruhan,14.4,121.1,2018,1197.227
Sampiruhan,Sampiruhan,14.4,121.1,2018,785.797
Sampiruhan,Sampiruhan,14.4,121.1,2018,1086.685
San Isidro,San Isidro,14.4,121.1,2018,4667.143
San Isidro,San Isidro,14.4,121.1,2018,3125.194
San Isidro,San Isidro,14.4,121.1,2018,2255.21
San Isidro,San Isidro,14.4,121.1,2018,2905.405
San Isidro,San Isidro,14.4,121.1,2018,2951.593
San Isidro,San Isidro,14.4,121.1,2018,2448.183
San Isidro,San Isidro,14.4,121.1,2018,3858.318
San Isidro,San Isidro,14.4,121.1,2018,2610.454
San Isidro,San Isidro,14.4,121.1,2018,3423.935
San Isidro,San Isidro,14.4,121.1,2018,2063.252
San Isidro,San Isidro,14.4,121.1,2018,4581.23
San Isidro,San Isidro,14.4,121.1,2018,2045.373
San Isidro,San Isidro,14.4,121.1,2018,4795.742
San Isidro,San Isidro,14.4,121.1,2018,4092.979
San Isidro,San Isidro,14.4,121.1,2018,1782.247
San Isidro,San Isidro,14.4,121.1,2018,4224.972
San Isidro,San Isidro,14.4,121.1,2018,2618.929
San Isidro,San Isidro,14.4,121.1,2018,4210.227
San Isidro,San Isidro,14.4,121.1,2018,2474.913
San Isidro,San Isidro,14.4,121.1,2018,4722.443
San Isidro,San Isidro,14.4,121.1,2018,2924.496
San Isidro,San Isidro,14.4,121.1,2018,4069.368
San Isidro,San Isidro,14.4,121.1,2018,2845.239
San Isidro,San Isidro,14.4,121.1,2018,1309.817
San Isidro,San Isidro,14.4,121.1,2018,3503.769
San Isidro,San Isidro,14.4,121.1,2018,1840.551
San Isidro,San Isidro,14.4,121.1,2018,1062.882
San Isidro,San Isidro,14.4,121.1,2018,4094.795
San Isidro,San Isidro,14.4,121.1,2018,2157.857
