River_Name,Latitude,Longitude,Year,Microplastic_Level,pH_Level,Temperature
Pasig River,14.6,121.0,2015,61,8.24,27.5
Laguna Lake,14.4,121.3,2015,59,6.52,29.0
Agusan River,8.6,125.5,2015,90,7.02,25.3
Cagayan River,17.6,121.7,2015,55,7.0,28.1
Marikina River,14.7,121.1,2015,72,8.01,29.3
Pulangi River,7.8,125.0,2015,79,7.28,26.7
Davao River,7.1,125.6,2015,42,6.51,26.0
Pampanga River,15.1,120.7,2015,35,7.02,28.3
Taguig Lake,14.5,121.1,2015,32,8.45,26.7
Bicol River,13.3,123.0,2015,68,6.78,26.0
Pasig River,14.6,121.0,2016,91,7.73,25.8
Laguna Lake,14.4,121.3,2016,50,7.48,26.6
Agusan River,8.6,125.5,2016,68,8.45,25.6
Cagayan River,17.6,121.7,2016,73,8.02,27.1
Marikina River,14.7,121.1,2016,95,6.91,29.5
Pulangi River,7.8,125.0,2016,41,6.94,29.3
Davao River,7.1,125.6,2016,36,7.4,27.9
Pampanga River,15.1,120.7,2016,55,7.78,29.8
Taguig Lake,14.5,121.1,2016,46,7.57,27.0
Bicol River,13.3,123.0,2016,33,7.48,26.2
Pasig River,14.6,121.0,2017,83,7.92,28.0
Laguna Lake,14.4,121.3,2017,89,7.97,25.4
Agusan River,8.6,125.5,2017,44,6.89,27.7
Cagayan River,17.6,121.7,2017,77,6.66,27.9
Marikina River,14.7,121.1,2017,39,6.67,28.0
Pulangi River,7.8,125.0,2017,88,8.3,25.7
Davao River,7.1,125.6,2017,27,7.38,28.5
Pampanga River,15.1,120.7,2017,53,8.1,28.4
Taguig Lake,14.5,121.1,2017,21,7.87,29.7
Bicol River,13.3,123.0,2017,88,7.1,29.3
Pasig River,14.6,121.0,2018,32,7.14,29.9
Laguna Lake,14.4,121.3,2018,54,6.61,25.6
Agusan River,8.6,125.5,2018,20,7.74,27.1
Cagayan River,17.6,121.7,2018,54,7.18,26.1
Marikina River,14.7,121.1,2018,91,7.51,28.4
Pulangi River,7.8,125.0,2018,44,6.84,25.7
Davao River,7.1,125.6,2018,87,8.15,28.5
Pampanga River,15.1,120.7,2018,32,8.48,28.9
Taguig Lake,14.5,121.1,2018,58,7.37,26.8
Bicol River,13.3,123.0,2018,45,7.91,26.2
